Date,bitcoin,ethereum,tether,bnb,solana
2024-01-09,,,,,
2024-01-10,0.0105775840049726,0.1011914107807954,5.792609559884809e-05,0.013691211608551,0.0263942677075965
2024-01-11,-0.0055587338924432,0.0145290941176381,2.300224051365873e-05,0.0118148565033773,-0.0208126833079201
2024-01-12,-0.075814646870802,-0.0363254849039511,-0.0003379344701501,-0.0391026432522425,-0.0819595229749842
2024-01-13,-0.0002516769882185,0.0206530074063442,6.700171897566776e-05,0.018868029350245,0.0437102079904387
2024-01-14,-0.0244177193838242,-0.0405017365873441,-0.0004859683421398,-0.0105085292057744,-0.0166813720852926
2024-01-15,0.0171235190790146,0.0158247336144494,0.0002331134389987,0.0619155585788964,0.0037934162134745
2024-01-16,0.0151246009395882,0.0303928062928022,0.0001460122179255,-0.0073716774597532,0.0331959012106799
2024-01-17,-0.0095537826722856,-0.0229245971128152,-0.0006810722945275,-0.019480830032217,0.0454452919646566
2024-01-18,-0.0346397256326677,-0.0242648824602766,1.7001128576721314e-05,0.0136127076028993,-0.0765468302426131
2024-01-19,0.0086362064423022,0.0091121058091665,-1.9029009874715896e-05,0.0032160589426377,-0.0091753367685902
2024-01-20,0.0011336255217606,-0.007997363142403,0.0001250927681883,0.0084630571307089,-0.0087414438455489
2024-01-21,-0.0028752933279206,-0.0063476249221857,0.0001281190548105,0.0042854152613507,-0.0185957439162952
2024-01-22,-0.0490643746672181,-0.0583095916240283,-0.0005863021776733,-0.040467881871792,-0.0795349323117858
2024-01-23,0.0085600134310392,-0.0303529422951259,0.000394439112654,-0.0230263894106644,0.0077932713410358
2024-01-24,0.0058105217009309,-0.0031795028247356,0.0004903790329888,-0.0178029492235658,0.0528926778023739
2024-01-25,-0.0035747525934159,-0.0070969886439218,-2.0032428686311832e-05,-0.0039992628086988,-0.0207681120715731
2024-01-26,0.0471545932209109,0.0223155856161023,0.0002690719099895,0.0356218750689318,0.063910740632219
2024-01-27,0.0072502697074174,0.000302699093841,6.097640570734697e-05,0.0115998254050226,0.0186153614304203
2024-01-28,-0.00200524282617,-0.0047080171393611,-4.601262462444744e-05,-0.0027767943138532,0.0188477528368005
2024-01-29,0.0297998013588187,0.0265174716379066,0.0001240967520745,0.0187962284462379,0.0586700382821716
2024-01-30,-0.007753530092744,0.011838016077853,-9.702422876167738e-05,-0.0104447574371788,-0.0009224381271621
2024-01-31,-0.008614235820219,-0.0264232827792348,0.0,-0.0231301648575738,-0.0437975451017295
2024-02-01,0.0115814418427713,0.0093230489292142,-9.500714222454576e-05,-0.0005832204825407,0.008430345406305
2024-02-02,0.0025556346111748,0.0018288626271742,-0.0002190021370889,0.0032616373618821,0.0265090843933883
2024-02-03,-0.0044831659668692,-0.0051991151846616,9.599092987078171e-05,-0.0047093475375461,-0.0254930899799011
2024-02-04,-0.0095056194721141,-0.0028275605920651,-9.00201191985639e-05,0.0166727534835104,-0.0245507070714944
2024-02-05,0.0017632602500394,0.0040806224708709,-0.0009252635770014,-0.01273282567203,0.0007509775173408
2024-02-06,0.0099863386864791,0.0318906180157301,0.001188458625557,0.0061694689343132,0.0137355780064027
2024-02-07,0.0286308500811809,0.0217280041792657,-0.0001580147576604,0.0162678343407729,0.0425165852419406
